Playing Cards	Playing Cards	1F0A0-1F0FF
Enclosed Alphanumeric Supplement	Enclosed Alphanumeric Supplement	1F100-1F1FF
Enclosed Ideographic Supplement	Enclosed Ideographic Supplement	1F200-1F2FF
Miscellaneous Symbols and Pictographs	Miscellaneous Symbols and Pictographs	1F300-1F5FF
Emoticons	Emoticons	1F600-1F64F
Ornamental Dingbats	Ornamental Dingbats	1F650-1F67F
Transport and Map Symbols	Transport and Map Symbols	1F680-1F6FF
Alchemical Symbols	Alchemical Symbols	1F700-1F77F
Geometric Shapes Extended	Geometric Shapes Extended	1F780-1F7FF
Supplemental Arrows-C	Supplemental Arrows-C	1F800-1F8FF
Supplemental Symbols and Pictographs	Supplemental Symbols and Pictographs	1F900-1F9FF
Chess Symbols	Chess Symbols	1FA00-1FA6F
Symbols and Pictographs Extended-A	Symbols and Pictographs Extended-A	1FA70-1FAFF
Symbols for Legacy Computing	Symbols for Legacy Computing	1FB00-1FBFF
Hanja	CJK Unified Ideographs Extension B	20000-2A6DF
Hanja	CJK Unified Ideographs Extension C	2A700-2B73F
Hanja	CJK Unified Ideographs Extension D	2B740-2B81F
Hanja	CJK Unified Ideographs Extension E	2B820-2CEAF
Hanja	CJK Unified Ideographs Extension F	2CEB0-2EBEF
Hanja	CJK Compatibility Ideographs Supplement	2F800-2FA1F
Hanja	CJK Unified Ideographs Extension G	30000-3134F
