Project	0.687548	218	1.79044	2.51246	0.367447	0.415958	0.509033	0.446991	0.197094	0.375487	0.330942
Generation	0.687324	30	1.58501	2.31534	0.412169	0.454399	0.548141	0.387178	0.297798	0.552725	0.368995
했다.(...)	0.686812	83	3.57229	1.43481	0.357028	0.375314	0.341063	0.293615	0.238364	0.385885	0.282168
20000000000	0.679717	46	1.535	2.37632	0.431672	0.431679	0.628688	0.445607	0.27109	0.576384	0.330796
(~2010년):	0.678682	39	3.48583	1.38629	0.380026	0.369565	0.425569	0.358744	0.28074	0.487592	0.343566
까지	0.674822	28895	5.0363	2.05227	0.0862694	0.75681	0.30531	0.221417	0.133178	0.199291	0.19823
Discovery	0.67324	29	1.73968	2.34538	0.425293	0.387969	0.652717	0.471219	0.299895	0.657068	0.374347
Original	0.673057	387	1.69532	1.53843	0.489202	0.527515	0.240083	0.250555	0.177662	0.284988	0.23453
(~2011년):	0.672678	40	3.4332	1.38629	0.381231	0.370736	0.42227	0.356253	0.279175	0.483574	0.341225
Federation	0.672148	29	1.79655	2.02624	0.410619	0.449673	0.490593	0.530917	0.299921	0.631767	0.443451
멤버	0.669166	9028	1.71171	2.46542	0.159129	0.996468	0.476588	0.24563	0.115006	0.222084	0.248742
Anjunabeats	0.665954	38	1.57686	1.93462	0.475329	0.459262	0.554141	0.362253	0.282443	0.503506	0.345989
CHAOS;HEAD	0.665199	32	1.57676	2.26209	0.43575	0.427994	1.02167	0.454338	0.293523	0.63187	0.364087
Industrial	0.663725	43	1.68474	1.8868	0.449225	0.464798	0.424252	0.412516	0.274822	0.540669	0.335963
Cortex-A53	0.663007	33	1.48008	2.55524	0.408206	0.42946	0.568531	0.506829	0.291604	0.647865	0.425252
Steins;Gate	0.663006	43	1.38629	2.25986	0.443621	0.477055	0.919249	0.490468	0.275008	0.628774	0.337542
새정치민주연합	0.660968	100	1.42843	2.39459	0.417447	0.462902	0.489932	0.345842	0.229517	0.42879	0.27098
p://youtu.be	0.65998	106	1.44456	1.44456	0.518469	0.610007	0.319203	0.276314	0.22657	0.359988	0.265787
다(...).	0.657336	1461	3.49478	1.4335	0.361264	0.363199	0.192355	0.177579	0.159509	0.225383	0.15971
DistorteD	0.656723	86	1.43353	2.31929	0.444437	0.444437	0.497165	0.432471	0.236867	0.466665	0.282693
World	0.654134	508	1.65215	2.68796	0.339669	0.43365	0.505719	0.352912	0.169984	0.337161	0.235433
Tomorrow	0.653992	44	1.7342	2.32919	0.441255	0.366926	0.599227	0.347765	0.273423	0.48186	0.332593
Yourself	0.651991	28	1.38629	2.60887	0.402823	0.447527	0.743138	0.598642	0.302185	0.696884	0.515426
뮤직비디오	0.648854	525	1.44222	2.6809	0.282283	0.594497	0.952935	0.313133	0.189971	0.337866	0.333096
